SLy4 (TOV)  M1 =    1.40080e+00  R1 =    1.15988e+06  om0 =    1.09158e+04  Ebind =    4.46654e+53
        r,             rho,           pr,           grav,           m(r),         Gam1,          csq,          bruntsq,         nn,            np,            ne,           nmu,           mun,            mup,          mue,           mumu
    2.66773e+03    9.85266e+14    1.35998e+35    7.34692e+11    3.93922e-08    2.54934e+00    3.51891e+20    1.81931e+00    4.97307e+38    4.10006e+37    2.66075e+37    1.43931e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    2.78371e+03    9.85266e+14    1.35998e+35    7.66635e+11    4.47569e-08    2.54934e+00    3.51891e+20    1.98095e+00    4.97306e+38    4.10006e+37    2.66075e+37    1.43931e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    2.89970e+03    9.85265e+14    1.35998e+35    7.98578e+11    5.05878e-08    2.54934e+00    3.51891e+20    2.14947e+00    4.97306e+38    4.10006e+37    2.66075e+37    1.43931e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.01569e+03    9.85265e+14    1.35998e+35    8.30521e+11    5.69044e-08    2.54934e+00    3.51891e+20    2.32487e+00    4.97306e+38    4.10006e+37    2.66075e+37    1.43931e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.13168e+03    9.85264e+14    1.35998e+35    8.62463e+11    6.37261e-08    2.54934e+00    3.51890e+20    2.50715e+00    4.97306e+38    4.10006e+37    2.66075e+37    1.43931e+37    1.89763e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.24767e+03    9.85264e+14    1.35998e+35    8.94406e+11    7.10722e-08    2.54934e+00    3.51890e+20    2.69630e+00    4.97306e+38    4.10005e+37    2.66075e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.36365e+03    9.85263e+14    1.35997e+35    9.26349e+11    7.89623e-08    2.54934e+00    3.51890e+20    2.89233e+00    4.97305e+38    4.10005e+37    2.66075e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.47964e+03    9.85263e+14    1.35997e+35    9.58292e+11    8.74156e-08    2.54934e+00    3.51890e+20    3.09525e+00    4.97305e+38    4.10005e+37    2.66075e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.59563e+03    9.85262e+14    1.35997e+35    9.90234e+11    9.64518e-08    2.54934e+00    3.51889e+20    3.30503e+00    4.97305e+38    4.10005e+37    2.66075e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.71162e+03    9.85262e+14    1.35997e+35    1.02218e+12    1.06090e-07    2.54935e+00    3.51889e+20    3.52170e+00    4.97305e+38    4.10004e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    3.82761e+03    9.85261e+14    1.35997e+35    1.05412e+12    1.16350e-07    2.54935e+00    3.51889e+20    3.74525e+00    4.97304e+38    4.10004e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    3.94359e+03    9.85260e+14    1.35996e+35    1.08606e+12    1.27251e-07    2.54935e+00    3.51889e+20    3.97567e+00    4.97304e+38    4.10004e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.05958e+03    9.85260e+14    1.35996e+35    1.11801e+12    1.38813e-07    2.54935e+00    3.51888e+20    4.21298e+00    4.97304e+38    4.10004e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.17557e+03    9.85259e+14    1.35996e+35    1.14995e+12    1.51054e-07    2.54935e+00    3.51888e+20    4.45716e+00    4.97304e+38    4.10003e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.29156e+03    9.85259e+14    1.35996e+35    1.18189e+12    1.63995e-07    2.54935e+00    3.51888e+20    4.70822e+00    4.97303e+38    4.10003e+37    2.66074e+37    1.43930e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.40755e+03    9.85258e+14    1.35996e+35    1.21383e+12    1.77654e-07    2.54935e+00    3.51887e+20    4.96616e+00    4.97303e+38    4.10003e+37    2.66074e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.52353e+03    9.85257e+14    1.35995e+35    1.24578e+12    1.92052e-07    2.54935e+00    3.51887e+20    5.23098e+00    4.97303e+38    4.10003e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
